epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,359.967,0.76204,0.44756,0.86518,0.72224,0.70025,0.70899,0.45291,1.01261,0.70117,0.99706,0.000891022,0.000891022,0.000891022
102,363.453,0.74871,0.44352,0.88625,0.7368,0.7081,0.70428,0.45308,0.99495,0.65847,0.98316,0.000888822,0.000888822,0.000888822
103,366.974,0.77678,0.44329,0.88246,0.78626,0.66632,0.7104,0.45875,1.01424,0.67005,0.99363,0.000886622,0.000886622,0.000886622
104,370.663,0.79555,0.45407,0.88442,0.78474,0.71833,0.75408,0.49014,1.01182,0.68084,0.98905,0.000884423,0.000884423,0.000884423
105,374.146,0.74625,0.4426,0.88411,0.7759,0.77535,0.77917,0.49437,1.01364,0.63266,0.99012,0.000882223,0.000882223,0.000882223
106,377.662,0.76918,0.45265,0.87591,0.69773,0.76062,0.7689,0.48574,1.00565,0.63171,0.99198,0.000880023,0.000880023,0.000880023
107,381.143,0.78665,0.45347,0.86846,0.73656,0.68941,0.74552,0.47056,0.9961,0.63825,0.98126,0.000877823,0.000877823,0.000877823
108,384.796,0.7635,0.44914,0.87485,0.74822,0.71207,0.74587,0.49198,0.99197,0.64898,0.99179,0.000875624,0.000875624,0.000875624
109,388.281,0.76014,0.43374,0.87118,0.68149,0.77217,0.76444,0.49786,1.01033,0.64901,0.99061,0.000873424,0.000873424,0.000873424
110,391.773,0.745,0.44131,0.87435,0.72484,0.7125,0.77124,0.52192,0.97718,0.61738,0.9809,0.000871224,0.000871224,0.000871224
111,395.501,0.73925,0.4459,0.87587,0.66292,0.76024,0.74481,0.50112,0.98336,0.61283,0.98085,0.000869024,0.000869024,0.000869024
112,399.097,0.74574,0.45145,0.87291,0.68259,0.71162,0.72432,0.48727,1.00317,0.68093,0.98709,0.000866824,0.000866824,0.000866824
