epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,285.644,0.79692,0.45201,0.86386,0.66078,0.7065,0.68347,0.44456,1.01152,0.67084,0.97178,0.000676543,0.000676543,0.000676543
81,289.104,0.75328,0.43734,0.86818,0.6958,0.71837,0.70152,0.45271,1.01776,0.65086,0.97795,0.000671044,0.000671044,0.000671044
82,292.63,0.7859,0.45018,0.86312,0.6969,0.75571,0.7276,0.4745,0.98852,0.62578,0.97401,0.000665545,0.000665545,0.000665545
83,296.105,0.77386,0.45444,0.8681,0.69861,0.78876,0.76556,0.50715,0.97742,0.63504,0.97887,0.000660045,0.000660045,0.000660045
84,299.614,0.81253,0.46095,0.87548,0.68152,0.7664,0.72783,0.48317,1.01846,0.68592,0.98702,0.000654546,0.000654546,0.000654546
85,303.45,0.76438,0.44863,0.86537,0.70825,0.73649,0.74286,0.48868,1.01603,0.69923,0.9828,0.000649046,0.000649046,0.000649046
86,306.987,0.75427,0.44413,0.8612,0.74927,0.74499,0.75384,0.50502,1.01353,0.67646,0.98025,0.000643547,0.000643547,0.000643547
87,310.446,0.74646,0.43181,0.8682,0.7219,0.74486,0.74423,0.50766,0.97937,0.6651,0.97053,0.000638047,0.000638047,0.000638047
88,313.946,0.75939,0.42595,0.85575,0.7077,0.74093,0.71779,0.47416,1.03333,0.67205,0.98887,0.000632548,0.000632548,0.000632548
89,317.416,0.785,0.46525,0.8756,0.70031,0.7562,0.72907,0.48373,0.98538,0.63837,0.97922,0.000627048,0.000627048,0.000627048
90,320.875,0.75119,0.43402,0.86141,0.77562,0.73644,0.76492,0.50786,1.00499,0.62506,0.96981,0.000621549,0.000621549,0.000621549
91,324.346,0.7483,0.43192,0.86196,0.78202,0.68751,0.74599,0.49825,0.97927,0.62451,0.97622,0.000616049,0.000616049,0.000616049
92,327.874,0.75156,0.44151,0.87165,0.72535,0.68246,0.72198,0.47452,0.9962,0.61171,0.97078,0.00061055,0.00061055,0.00061055
93,331.378,0.77932,0.44031,0.86511,0.67472,0.73376,0.71026,0.46586,0.98352,0.61234,0.97697,0.000605051,0.000605051,0.000605051
94,335.207,0.76319,0.4262,0.86724,0.69819,0.74978,0.71352,0.47139,0.96997,0.63487,0.97021,0.000599551,0.000599551,0.000599551
95,338.648,0.75037,0.42313,0.87424,0.7235,0.73937,0.71188,0.47284,0.97661,0.62327,0.9737,0.000594052,0.000594052,0.000594052
96,342.141,0.71286,0.41684,0.85328,0.76846,0.71766,0.73243,0.49653,0.95514,0.61008,0.97305,0.000588552,0.000588552,0.000588552
97,345.603,0.71667,0.40459,0.85308,0.69661,0.73302,0.73229,0.48228,0.98609,0.64935,0.98155,0.000583053,0.000583053,0.000583053
98,349.081,0.71968,0.40383,0.85137,0.73483,0.68881,0.72244,0.4765,0.97173,0.65491,0.98055,0.000577553,0.000577553,0.000577553
99,352.577,0.74368,0.41412,0.87367,0.75509,0.73469,0.76215,0.50888,0.96493,0.64416,0.969,0.000572054,0.000572054,0.000572054
100,356.092,0.70464,0.39674,0.86238,0.7775,0.70267,0.75677,0.512,0.97033,0.66454,0.96182,0.000566554,0.000566554,0.000566554
101,359.581,0.72453,0.41979,0.84882,0.75159,0.73788,0.74548,0.49859,0.97262,0.66328,0.96484,0.000561055,0.000561055,0.000561055
102,363.36,0.70242,0.4223,0.8659,0.72932,0.7042,0.72733,0.48808,0.9905,0.64067,0.9654,0.000555556,0.000555556,0.000555556
103,366.819,0.72155,0.41152,0.85905,0.67846,0.75099,0.73308,0.49698,0.98117,0.6307,0.97314,0.000550056,0.000550056,0.000550056
104,370.328,0.70582,0.40993,0.86267,0.74566,0.7222,0.75441,0.53258,0.98482,0.62788,0.96969,0.000544557,0.000544557,0.000544557
105,373.988,0.68087,0.40262,0.8587,0.73236,0.75555,0.76183,0.52064,0.97834,0.63053,0.97016,0.000539057,0.000539057,0.000539057
106,377.449,0.69681,0.41628,0.85039,0.7868,0.76521,0.76752,0.51733,0.97423,0.63623,0.96926,0.000533558,0.000533558,0.000533558
107,380.899,0.70951,0.42191,0.84666,0.75706,0.73188,0.74042,0.49159,0.98962,0.66314,0.97385,0.000528058,0.000528058,0.000528058
108,384.425,0.70556,0.40898,0.85488,0.73169,0.77315,0.73468,0.47213,0.98276,0.67583,0.98055,0.000522559,0.000522559,0.000522559
109,387.915,0.70048,0.40215,0.85235,0.71222,0.73683,0.708,0.46336,0.99845,0.69795,0.97358,0.000517059,0.000517059,0.000517059
110,391.387,0.68923,0.40794,0.85374,0.74089,0.69436,0.71829,0.47715,0.9797,0.66634,0.97701,0.00051156,0.00051156,0.00051156
111,395.302,0.68017,0.40297,0.85648,0.65828,0.74228,0.73205,0.50427,0.96956,0.62981,0.96637,0.00050606,0.00050606,0.00050606
112,398.835,0.67283,0.40458,0.85007,0.7049,0.75149,0.74338,0.50219,0.97154,0.61261,0.97163,0.000500561,0.000500561,0.000500561
113,402.299,0.66856,0.38511,0.83784,0.69251,0.78293,0.75963,0.52652,0.9624,0.63807,0.96225,0.000495062,0.000495062,0.000495062
114,405.768,0.68538,0.3991,0.85463,0.74701,0.69215,0.75545,0.52001,0.96074,0.64802,0.95728,0.000489562,0.000489562,0.000489562
115,409.247,0.69075,0.3864,0.84401,0.72979,0.67704,0.74153,0.50405,0.98281,0.65069,0.96979,0.000484063,0.000484063,0.000484063
116,412.762,0.70655,0.39345,0.85046,0.75617,0.69005,0.75228,0.51691,0.99717,0.65888,0.97471,0.000478563,0.000478563,0.000478563
117,416.236,0.69063,0.38448,0.84406,0.76763,0.70133,0.75683,0.50649,0.99,0.65603,0.97762,0.000473064,0.000473064,0.000473064
118,419.687,0.67972,0.37848,0.84977,0.79499,0.73322,0.77285,0.51017,0.99081,0.67193,0.96886,0.000467564,0.000467564,0.000467564
119,423.355,0.66888,0.3887,0.84934,0.78466,0.73734,0.77516,0.51676,0.95992,0.70739,0.96833,0.000462065,0.000462065,0.000462065
120,426.865,0.63257,0.37935,0.84327,0.83238,0.74705,0.78037,0.5287,0.9678,0.62354,0.97571,0.000456565,0.000456565,0.000456565
121,430.325,0.69393,0.39585,0.84443,0.81613,0.74228,0.77597,0.52107,0.95576,0.61581,0.97117,0.000451066,0.000451066,0.000451066
122,433.792,0.67301,0.37749,0.84604,0.80372,0.72883,0.75223,0.49607,0.9779,0.64145,0.97444,0.000445567,0.000445567,0.000445567
123,437.254,0.66073,0.37871,0.84643,0.77156,0.73003,0.74207,0.50528,0.96363,0.61984,0.96976,0.000440067,0.000440067,0.000440067
124,440.809,0.64195,0.37192,0.85354,0.78218,0.71015,0.74751,0.51136,0.97962,0.62122,0.96982,0.000434568,0.000434568,0.000434568
125,444.253,0.62771,0.36471,0.84201,0.77846,0.73238,0.7534,0.50814,0.97117,0.61602,0.96589,0.000429068,0.000429068,0.000429068
126,447.732,0.62516,0.38305,0.82944,0.78017,0.71901,0.75412,0.5114,0.96326,0.63886,0.97086,0.000423569,0.000423569,0.000423569
127,451.408,0.62418,0.36151,0.83611,0.78309,0.75855,0.77029,0.51458,0.95889,0.65012,0.97087,0.000418069,0.000418069,0.000418069
128,455.271,0.60378,0.35173,0.83015,0.75143,0.76253,0.75695,0.50303,0.97012,0.6821,0.96995,0.00041257,0.00041257,0.00041257
129,458.857,0.63506,0.36211,0.8419,0.73633,0.79532,0.75886,0.50974,0.9754,0.67856,0.96986,0.00040707,0.00040707,0.00040707
130,462.344,0.62994,0.36281,0.84448,0.76107,0.79578,0.76572,0.51064,0.9784,0.64999,0.96878,0.000401571,0.000401571,0.000401571
131,465.833,0.61642,0.35252,0.82865,0.81207,0.78195,0.7567,0.50976,0.94537,0.61858,0.95922,0.000396071,0.000396071,0.000396071
132,469.343,0.65733,0.36811,0.83505,0.80362,0.79799,0.76841,0.51373,0.96759,0.65028,0.96751,0.000390572,0.000390572,0.000390572
133,472.826,0.63818,0.36154,0.83774,0.81779,0.75496,0.76583,0.5193,0.96846,0.65313,0.97526,0.000385073,0.000385073,0.000385073
134,476.323,0.64164,0.36835,0.84269,0.7614,0.76117,0.74187,0.50856,0.97117,0.65671,0.97386,0.000379573,0.000379573,0.000379573
135,479.84,0.62579,0.34846,0.8348,0.73876,0.69777,0.74837,0.52572,0.96828,0.65793,0.9667,0.000374074,0.000374074,0.000374074
136,483.724,0.65048,0.362,0.84145,0.64792,0.75189,0.73519,0.4993,0.95951,0.66387,0.97011,0.000368574,0.000368574,0.000368574
137,487.172,0.62105,0.34244,0.83844,0.70597,0.72072,0.73108,0.49617,0.95973,0.65571,0.97246,0.000363075,0.000363075,0.000363075
138,490.639,0.62854,0.37455,0.83611,0.69476,0.75059,0.7353,0.49397,0.9804,0.65021,0.98262,0.000357575,0.000357575,0.000357575
