epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,834.178,0.71006,0.46127,1.01123,0.94939,0.87718,0.92989,0.78578,0.70618,0.41831,0.9952,0.007723,0.007723,0.007723
117,841.263,0.70458,0.47938,1.01263,0.93437,0.91292,0.92276,0.77933,0.69556,0.40524,0.98022,0.0077032,0.0077032,0.0077032
118,848.276,0.68953,0.46293,1.0039,0.958,0.89944,0.92096,0.77737,0.73153,0.41676,1.01239,0.0076834,0.0076834,0.0076834
119,855.334,0.68898,0.46134,1.00181,0.97412,0.89533,0.91013,0.77178,0.68694,0.4091,0.99187,0.0076636,0.0076636,0.0076636
120,862.502,0.69348,0.4608,1.00451,0.95951,0.87269,0.9113,0.77912,0.66551,0.4101,0.98235,0.0076438,0.0076438,0.0076438
121,870.077,0.69652,0.47132,1.0071,0.94366,0.89837,0.9265,0.78551,0.69103,0.41879,0.98405,0.007624,0.007624,0.007624
122,877.206,0.67946,0.46659,1.00199,0.9492,0.89246,0.91031,0.7782,0.69817,0.43251,1.00027,0.0076042,0.0076042,0.0076042
123,884.438,0.67866,0.46827,1.00477,0.94782,0.89261,0.92376,0.7836,0.72154,0.41683,1.00855,0.0075844,0.0075844,0.0075844
124,891.599,0.68106,0.46784,1.0023,0.95239,0.89138,0.91437,0.76763,0.72467,0.41959,1.00277,0.0075646,0.0075646,0.0075646
125,898.731,0.67326,0.44537,1.00486,0.96397,0.88116,0.91718,0.77044,0.7553,0.40963,1.01901,0.0075448,0.0075448,0.0075448
126,906.456,0.67981,0.44758,0.99892,0.93962,0.91836,0.93171,0.78039,0.73119,0.4225,1.00874,0.007525,0.007525,0.007525
127,913.569,0.68926,0.45706,1.00375,0.96341,0.892,0.91094,0.77294,0.70011,0.43071,0.99734,0.0075052,0.0075052,0.0075052
128,920.721,0.68049,0.45942,0.99593,0.94307,0.90165,0.91353,0.78056,0.74695,0.44991,1.01548,0.0074854,0.0074854,0.0074854
129,928.003,0.68386,0.46152,1.00452,0.92309,0.89797,0.90848,0.76047,0.72771,0.43319,0.9966,0.0074656,0.0074656,0.0074656
130,935.889,0.67264,0.46028,1.00091,0.94835,0.88097,0.91006,0.77413,0.68462,0.41609,0.98845,0.0074458,0.0074458,0.0074458
131,943.008,0.66209,0.43553,0.98933,0.95022,0.88575,0.91892,0.77222,0.73886,0.43226,0.99742,0.007426,0.007426,0.007426
132,950.098,0.68976,0.46249,1.01084,0.95475,0.88627,0.93081,0.78321,0.72584,0.39558,0.997,0.0074062,0.0074062,0.0074062
133,957.288,0.66729,0.44671,0.99852,0.96211,0.8748,0.91016,0.7698,0.68203,0.41764,0.99964,0.0073864,0.0073864,0.0073864
134,964.477,0.67508,0.46588,1.00246,0.93946,0.87884,0.9152,0.77962,0.69807,0.40025,0.98862,0.0073666,0.0073666,0.0073666
135,971.686,0.66205,0.44348,0.9913,0.94632,0.88572,0.91713,0.78235,0.72117,0.40371,0.9999,0.0073468,0.0073468,0.0073468
136,978.875,0.66329,0.43653,0.99637,0.94323,0.90376,0.93312,0.79729,0.70279,0.38501,0.99535,0.007327,0.007327,0.007327
